from,to
lh-bankssts,left-temporal
lh-caudalanteriorcingulate,left-frontal
lh-caudalmiddlefrontal,left-frontal
lh-cuneus,left-occipital
lh-entorhinal,left-temporal
lh-fusiform,left-temporal
lh-inferiorparietal,left-parietal
lh-inferiortemporal,left-temporal
lh-isthmuscingulate,left-parietal
lh-lateraloccipital,left-occipital
lh-lateralorbitofrontal,left-frontal
lh-lingual,left-occipital
lh-medialorbitofrontal,left-frontal
lh-middletemporal,left-temporal
lh-parahippocampal,left-temporal
lh-paracentral,left-frontal
lh-parsopercularis,left-frontal
lh-parsorbitalis,left-frontal
lh-parstriangularis,left-frontal
lh-pericalcarine,left-occipital
lh-postcentral,left-parietal
lh-posteriorcingulate,left-parietal
lh-precentral,left-frontal
lh-precuneus,left-parietal
lh-rostralanteriorcingulate,left-frontal
lh-rostralmiddlefrontal,left-frontal
lh-superiorfrontal,left-frontal
lh-superiorparietal,left-parietal
lh-superiortemporal,left-temporal
lh-supramarginal,left-parietal
lh-frontalpole,left-frontal
lh-temporalpole,left-temporal
lh-transversetemporal,left-temporal
lh-insula,left-insula
rh-bankssts,right-temporal
rh-caudalanteriorcingulate,right-frontal
rh-caudalmiddlefrontal,right-frontal
rh-cuneus,right-occipital
rh-entorhinal,right-temporal
rh-fusiform,right-temporal
rh-inferiorparietal,right-parietal
rh-inferiortemporal,right-temporal
rh-isthmuscingulate,right-parietal
rh-lateraloccipital,right-occipital
rh-lateralorbitofrontal,right-frontal
rh-lingual,right-occipital
rh-medialorbitofrontal,right-frontal
rh-middletemporal,right-temporal
rh-parahippocampal,right-temporal
rh-paracentral,right-frontal
rh-parsopercularis,right-frontal
rh-parsorbitalis,right-frontal
rh-parstriangularis,right-frontal
rh-pericalcarine,right-occipital
rh-postcentral,right-parietal
rh-posteriorcingulate,right-parietal
rh-precentral,right-frontal
rh-precuneus,right-parietal
rh-rostralanteriorcingulate,right-frontal
rh-rostralmiddlefrontal,right-frontal
rh-superiorfrontal,right-frontal
rh-superiorparietal,right-parietal
rh-superiortemporal,right-temporal
rh-supramarginal,right-parietal
rh-frontalpole,right-frontal
rh-temporalpole,right-temporal
rh-transversetemporal,right-temporal
rh-insula,right-insula
