index,name
203,parasubiculum
211,HATA
212,fimbria
215,hippocampal-fissure
226,Hippocampal_tail
233,presubiculum-head
234,presubiculum-body
235,subiculum-head
236,subiculum-body
237,CA1-head
238,CA1-body
239,CA3-head
240,CA3-body
241,CA4-head
242,CA4-body
243,GC-ML-DG-head
244,GC-ML-DG-body
245,molecular_layer_HP-head
246,molecular_layer_HP-body
7001,Lateral-nucleus
7003,Basal-nucleus
7005,Central-nucleus
7006,Medial-nucleus
7007,Cortical-nucleus
7008,Accessory-Basal-nucleus
7009,Corticoamygdaloid-transitio
7010,Anterior-amygdaloid-area-AAA
7015,Paralaminar-nucleus
