index,r,g,b,name
1,69,83,36,Middle_cerebellar_peduncle
2,89,97,40,Pontine_crossing_tract_(a_part_of_MCP)
3,93,152,77,Genu_of_corpus_callosum
4,95,100,97,Body_of_corpus_callosum
5,85,89,88,Splenium_of_corpus_callosum
6,89,116,88,Fornix_(column_and_body_of_fornix)
7,82,103,43,Corticospinal_tract_R
8,97,103,43,Corticospinal_tract_L
9,84,89,40,Medial_lemniscus_R
10,95,89,40,Medial_lemniscus_L
11,83,83,20,Inferior_cerebellar_peduncle_R
12,96,83,20,Inferior_cerebellar_peduncle_L
13,84,93,53,Superior_cerebellar_peduncle_R
14,95,93,53,Superior_cerebellar_peduncle_L
15,75,107,60,Cerebral_peduncle_R
16,104,107,60,Cerebral_peduncle_L
17,75,129,79,Anterior_limb_of_internal_capsule_R
18,104,129,79,Anterior_limb_of_internal_capsule_L
19,66,108,85,Posterior_limb_of_internal_capsule_R
20,113,108,85,Posterior_limb_of_internal_capsule_L
21,61,101,78,Retrolenticular_part_of_internal_capsule_R
22,117,101,78,Retrolenticular_part_of_internal_capsule_L
23,69,163,73,Anterior_corona_radiata_R
24,110,163,73,Anterior_corona_radiata_L
25,63,109,96,Superior_corona_radiata_R
26,116,109,96,Superior_corona_radiata_L
27,64,99,99,Posterior_corona_radiata_R
28,115,99,99,Posterior_corona_radiata_L
29,57,64,73,Posterior_thalamic_radiation_(include_optic_radiation)_R
30,122,64,73,Posterior_thalamic_radiation_(include_optic_radiation)_L
31,48,97,60,Sagittal_stratum_(include_inferior_longitidinal_fasciculus_and_inferior_fronto-occipital_fasciculus)_R
32,131,97,60,Sagittal_stratum_(include_inferior_longitidinal_fasciculus_and_inferior_fronto-occipital_fasciculus)_L
33,58,131,64,External_capsule_R
34,121,131,64,External_capsule_L
35,83,132,105,Cingulum_(cingulate_gyrus)_R
36,97,110,108,Cingulum_(cingulate_gyrus)_L
37,66,101,53,Cingulum_(hippocampus)_R
38,112,99,54,Cingulum_(hippocampus)_L
39,62,100,66,Fornix_(cres)_/_Stria_terminalis_(can_not_be_resolved_with_current_resolution)_R
40,117,100,66,Fornix_(cres)_/_Stria_terminalis_(can_not_be_resolved_with_current_resolution)_L
41,53,103,102,Superior_longitudinal_fasciculus_R
42,126,103,102,Superior_longitudinal_fasciculus_L
43,69,121,93,Superior_fronto-occipital_fasciculus_(could_be_a_part_of_anterior_internal_capsule)_R
44,110,121,93,Superior_fronto-occipital_fasciculus_(could_be_a_part_of_anterior_internal_capsule)_L
45,55,127,54,Uncinate_fasciculus_R
46,123,125,58,Uncinate_fasciculus_L
47,60,78,86,Tapetum_R
48,117,76,87,Tapetum_L
