index,r,g,b,name
1,255,52,39,descending_corticofugal_pathways
2,255,186,0,substantia_nigra
3,0,0,255,subthalamic_nucleus
4,255,255,0,molecular_layer_of_the_cerebellum
5,0,255,255,granule_cell_level_of_the_cerebellum
6,255,0,255,alveus_of_the_hippocampus
7,52,255,13,inferior_cerebellar_peduncle
10,29,104,235,cingulate_cortex_area_2
30,129,79,255,striatum
31,255,145,186,globus_pallidus
32,26,231,255,entopeduncular_nucleus
33,2,44,255,ventricular_system
34,212,255,0,medial_lemniscus
35,0,176,63,facial_nerve
36,124,252,0,anterior_commissure_anterior_part
37,255,186,0,anterior_commissure_posterior_part
38,174,0,232,ventral_hippocampal_commissure
39,0,100,0,thalamus
40,255,8,0,septal_region
41,48,218,0,optic_nerve
42,38,126,255,optic_tract_and_optic_chiasm
43,218,170,62,pineal_gland
44,0,165,21,inner_ear
45,134,255,90,spinal_cord
46,33,230,255,commissure_of_the_superior_colliculus
47,153,83,255,brainstem
48,226,120,161,hypothalamic_region
49,238,47,44,inferior_colliculus
50,86,0,221,superficial_gray_layer_of_the_superior_colliculus
51,7,255,89,periaqueductal_gray
52,21,192,255,fornix
53,238,186,0,mammillothalamic_tract
54,173,255,47,commissural_stria_terminalis
55,225,151,15,deeper_layers_of_the_superior_colliculus
56,235,87,255,periventricular_gray
57,250,244,247,genu_of_the_facial_nerve
58,0,215,11,pontine_nuclei
59,0,255,29,fimbria_of_the_hippocampus
60,244,67,69,fasciculus_retroflexus
61,255,252,0,stria_medullaris_of_the_thalamus
62,238,117,51,stria_terminalis
63,255,0,218,posterior_commissure
64,15,109,230,glomerular_layer_of_the_accessory_olfactory_bulb
65,255,227,0,glomerular_layer_of_the_olfactory_bulb
66,255,135,0,olfactory_bulb
67,255,110,0,corpus_callosum_and_associated_subcortical_white_matter
68,188,32,173,brachium_of_the_superior_colliculus
69,147,255,39,commissure_of_the_inferior_colliculus
70,39,244,253,central_canal
71,63,192,255,interpeduncular_nucleus
72,179,28,53,ascending_fibers_of_the_facial_nerve
73,255,79,206,anterior_commissure
74,0,246,14,inferior_olive
75,91,241,255,spinal_trigeminal_nuclus
76,250,128,114,spinal_trigeminal_tract
77,206,211,7,frontal_associiation_cortex
78,134,204,76,middle_cerebellar_peduncle
79,128,170,255,transverse_fibers_of_the_pons
80,69,235,202,habenular_commissure
81,222,7,237,nucleus_of_the_stria_medullaris
82,225,240,13,basal_forebrain_region
83,250,170,64,supraoptic_decussation
84,65,150,255,medial_lemniscus_decussation
85,114,9,212,pyramidal_decussation
92,3,193,45,neocortex
93,0,8,182,bed_nucleus_of_the_stria_terminalis
94,255,87,30,pretectal_region
95,165,131,107,cornu_ammonis_1
96,91,45,10,dentate_gyrus
97,255,255,0,cornu_ammonis_2
98,217,104,13,cornu_ammonis_3
99,255,82,82,fasciola_cinereum
100,255,192,0,subiculum
108,40,112,130,postrhinal_cortex
109,80,123,175,presubiculum
110,23,54,96,parasubiculum
112,205,51,255,perirhinal_area_35
113,112,48,160,perirhinal_area_36
114,12,92,8,entorhinal_cortex
115,221,166,36,lateral_entorhinal_cortex
