name,r,g,b
lh_thalamus_proper,0,118,14
lh_caudate,122,186,220
lh_putamen,236,13,176
lh_pallidum,12,48,255
lh_hippocampus,220,216,20
lh_amygdala,103,255,255
lh_accumbens_area,255,165,0
lh_bankssts,25,100,40
lh_caudalanteriorcingulate,125,100,160
lh_caudalmiddlefrontal,100,25,0
lh_cuneus,220,20,100
lh_entorhinal,220,20,10
lh_fusiform,180,220,140
lh_inferiorparietal,220,60,220
lh_inferiortemporal,180,40,120
lh_isthmuscingulate,140,20,140
lh_lateraloccipital,20,30,140
lh_lateralorbitofrontal,35,75,50
lh_lingual,225,140,140
lh_medialorbitofrontal,200,35,75
lh_middletemporal,160,100,50
lh_parahippocampal,20,220,60
lh_paracentral,60,220,60
lh_parsopercularis,220,180,140
lh_parsorbitalis,20,100,50
lh_parstriangularis,220,60,20
lh_pericalcarine,120,100,60
lh_postcentral,220,20,20
lh_posteriorcingulate,220,180,220
lh_precentral,60,20,220
lh_precuneus,160,140,180
lh_rostralanteriorcingulate,80,20,140
lh_rostralmiddlefrontal,75,50,125
lh_superiorfrontal,20,220,160
lh_superiorparietal,20,180,140
lh_superiortemporal,140,220,220
lh_supramarginal,80,160,20
lh_frontalpole,100,0,100
lh_temporalpole,70,70,70
lh_transversetemporal,150,150,200
lh_insula,255,192,32
rh_thalamus_proper,0,118,14
rh_caudate,122,186,220
rh_putamen,236,13,176
rh_pallidum,13,48,255
rh_hippocampus,220,216,20
rh_amygdala,103,255,255
rh_accumbens_area,255,165,0
rh_bankssts,25,100,40
rh_caudalanteriorcingulate,125,100,160
rh_caudalmiddlefrontal,100,25,0
rh_cuneus,220,20,100
rh_entorhinal,220,20,10
rh_fusiform,180,220,140
rh_inferiorparietal,220,60,220
rh_inferiortemporal,180,40,120
rh_isthmuscingulate,140,20,140
rh_lateraloccipital,20,30,140
rh_lateralorbitofrontal,35,75,50
rh_lingual,225,140,140
rh_medialorbitofrontal,200,35,75
rh_middletemporal,160,100,50
rh_parahippocampal,20,220,60
rh_paracentral,60,220,60
rh_parsopercularis,220,180,140
rh_parsorbitalis,20,100,50
rh_parstriangularis,220,60,20
rh_pericalcarine,120,100,60
rh_postcentral,220,20,20
rh_posteriorcingulate,220,180,220
rh_precentral,60,20,220
rh_precuneus,160,140,180
rh_rostralanteriorcingulate,80,20,140
rh_rostralmiddlefrontal,75,50,125
rh_superiorfrontal,20,220,160
rh_superiorparietal,20,180,140
rh_superiortemporal,140,220,220
rh_supramarginal,80,160,20
rh_frontalpole,100,0,100
rh_temporalpole,70,70,70
rh_transversetemporal,150,150,200
rh_insula,255,192,32
