index,name
1,lh_thalamus_proper
2,lh_caudate
3,lh_putamen
4,lh_pallidum
5,lh_hippocampus
6,lh_amygdala
7,lh_accumbens_area
8,rh_thalamus_proper
9,rh_caudate
10,rh_putamen
11,rh_pallidum
12,rh_hippocampus
13,rh_amygdala
14,rh_accumbens_area
15,lh_bankssts
16,lh_caudalanteriorcingulate
17,lh_caudalmiddlefrontal
18,lh_cuneus
19,lh_entorhinal
20,lh_fusiform
21,lh_inferiorparietal
22,lh_inferiortemporal
23,lh_isthmuscingulate
24,lh_lateraloccipital
25,lh_lateralorbitofrontal
26,lh_lingual
27,lh_medialorbitofrontal
28,lh_middletemporal
29,lh_parahippocampal
30,lh_paracentral
31,lh_parsopercularis
32,lh_parsorbitalis
33,lh_parstriangularis
34,lh_pericalcarine
35,lh_postcentral
36,lh_posteriorcingulate
37,lh_precentral
38,lh_precuneus
39,lh_rostralanteriorcingulate
40,lh_rostralmiddlefrontal
41,lh_superiorfrontal
42,lh_superiorparietal
43,lh_superiortemporal
44,lh_supramarginal
45,lh_frontalpole
46,lh_temporalpole
47,lh_transversetemporal
48,lh_insula
49,rh_bankssts
50,rh_caudalanteriorcingulate
51,rh_caudalmiddlefrontal
52,rh_cuneus
53,rh_entorhinal
54,rh_fusiform
55,rh_inferiorparietal
56,rh_inferiortemporal
57,rh_isthmuscingulate
58,rh_lateraloccipital
59,rh_lateralorbitofrontal
60,rh_lingual
61,rh_medialorbitofrontal
62,rh_middletemporal
63,rh_parahippocampal
64,rh_paracentral
65,rh_parsopercularis
66,rh_parsorbitalis
67,rh_parstriangularis
68,rh_pericalcarine
69,rh_postcentral
70,rh_posteriorcingulate
71,rh_precentral
72,rh_precuneus
73,rh_rostralanteriorcingulate
74,rh_rostralmiddlefrontal
75,rh_superiorfrontal
76,rh_superiorparietal
77,rh_superiortemporal
78,rh_supramarginal
79,rh_frontalpole
80,rh_temporalpole
81,rh_transversetemporal
82,rh_insula
